 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
freebsd-icse11,70.4,63.13,73,12.34,78.2,5.66,82.4,4.55,73.6,40.97,73,15.52,77.2,7.46,83.4,6.44,71.4,43.22,72.6,18.52,78.4,10.43,82.2,9.04,72.6,69.81,72.6,17.59,77.2,11.45,84.2,10.15
frv400,63.6,13.3,64.6,3.77,65.8,2.01,69.4,1.15,65,13.97,64.8,3.95,65,2.09,70,1.63,64.2,10.6,64.4,6.15,67,2.92,71.4,2.18,65.4,15.49,65.2,6.52,66.6,3.1,69,2.49
gps4020,60.6,9.84,61.6,2.92,62.8,1.77,65.6,1.09,60.6,11.39,61.4,3.9,63.4,1.8,65.4,1.46,60.6,11.4,61.4,4.39,62.6,2.31,65,2.14,62,10.47,61.2,5.91,62.8,2.83,65.4,1.98
grg,64.6,10.38,66,3.18,67,1.76,68.4,1.13,65,10.18,64.8,4.66,65.6,2.15,68.8,1.44,64.4,13.38,63.8,5.33,67.2,2.34,69,2.27,64.2,15.8,62.6,4.96,66.8,2.91,69.8,2.31
h8300h_sim,59.4,9.5,59,3.7,62.2,1.22,63.8,0.96,60.8,9.92,60.4,3.51,63.6,1.63,65.2,1.3,59.8,9.7,60.4,4.24,62.2,2.14,64,1.61,59.4,10.33,61.6,4.33,61.4,2.48,63.2,2.08
h8max,63.8,13.41,65.2,4.01,67.6,1.55,70.4,1.06,64.6,10.84,64.4,3.24,66.4,1.88,70.2,1.48,65,11.7,65.4,5.66,67,2.4,69.6,1.85,64.6,11.42,65.2,3.93,66.4,2.58,69.2,2.18
h8s_sim,61.4,9.63,60.4,3.43,61.2,1.36,64,0.85,60.2,9.92,60,3.61,62.4,1.55,65,1.33,60,12.76,58.8,3.95,61.8,2.17,64.2,1.83,59.6,9.85,60.2,4,60.4,2.56,64.6,2.09
hs7729pci,84,15.63,84.6,6.3,88.8,2.01,90.8,1.54,84.8,15.53,85.2,5.21,87.6,2.66,89.6,1.71,85.6,13.42,84.8,7.12,86.6,2.9,90.2,2.81,85,16.24,84.6,8.17,86.4,3.15,89.8,3.15
innovator,85.8,14.23,85.8,4.27,86.8,2.14,89.6,1.53,85.8,16.23,84,4.27,87.4,2.44,89.4,2.02,85.6,16.13,85,7.04,86.2,3.18,89.2,2.69,84.8,15.75,86.6,5.52,87.2,3.67,90.2,2.76
integrator_arm7,65.6,15.31,66.6,2.75,67.6,1.49,69.8,1.23,65.6,11.16,65.2,5.14,68.4,2.21,71.4,1.63,65.2,13.97,65.4,5.39,65.6,2.72,71.2,2.03,66.4,16.13,64.6,5.58,67.8,2.64,70.4,2.29
integrator_arm9,78.8,12.98,78.4,3.78,79.6,1.98,82.2,1.4,79.6,13.7,77.8,5.81,81.4,2.3,83,1.6,78.4,16.47,79.4,5.27,80,3.18,82.2,2.46,78.2,16.09,79.4,6.7,80.4,3.01,83,2.74
ipaq,61.8,9.95,61.6,4.07,64.4,1.54,65.6,1.08,62.6,9.87,61,3.01,62.6,1.72,66,1.49,61.2,12.97,61.6,4.06,63.8,2.5,66.2,2.06,61.4,11.3,62.2,4.62,63,2.7,66.4,2.07
iq80310,64.8,14.26,64.2,4.47,66.8,1.6,70,1.15,63.4,14.61,65.4,4.13,67.6,1.64,69.8,1.65,64.8,13.27,64.6,6.57,65.6,2.58,70.2,2.26,64.4,10.54,65.2,4.68,66,2.99,69.6,2.2
iq80321,64,13.1,64.4,4.01,66.2,1.68,69,1.16,64.2,12.69,64.8,3.97,67.4,1.96,70,1.58,65.6,11.59,65,5.76,67,2.65,68.6,2.25,63.8,13.26,66.2,5.02,67.2,2.62,68.4,2.5
ixdp425,64.6,12.97,64,4.6,67.4,1.5,69.4,1.16,63.4,11.11,64.8,6.01,65.8,1.76,69.6,1.59,64.6,13.99,64.6,5.38,66.6,2.4,69.8,1.98,65,13.03,65.2,5.71,67,2.7,69.4,2.25
jmr3904,61,11.55,60,2.95,62.8,1.35,66.2,1.02,61.6,10.7,61,3.28,63,1.45,64.4,1.47,61.4,11.15,60.8,5.2,63.2,2.17,67.2,1.95,61.2,10.69,60.8,4.16,63,2.62,64.8,1.88
jtst,60.4,9.9,62,3.41,63.6,1.42,65.8,1.09,61.8,10.14,61.4,4.05,64,1.83,65.8,1.18,61.2,11.05,62,5.68,63.4,2.44,65.8,2.02,62,12.43,60.8,6.11,64.4,3.06,65.4,1.97
linux,70.2,14.63,69,3.34,71.2,1.71,73.4,1.18,69.4,12.88,70.2,5.46,70.2,1.65,73.8,1.55,68.8,14.43,68.8,6.24,71,2.55,73.8,2.33,71,13.22,69.6,5.43,70.6,2.54,74.4,2.36
lpcmt,61,10.65,61.2,3.34,62.8,1.62,66.2,1.06,61,11.7,62,3.63,63.4,1.94,66.4,1.51,61.2,14.09,62.2,4.74,61.8,2.18,65.2,2.15,61.2,13.86,61,4.98,62.6,2.53,64.4,2.35
